Rank,Artist,Monthly Listeners
1,The Weeknd,114896677
2,Bruno Mars,105687396
3,Billie Eilish,104644416
4,Lady Gaga,100929120
5,Taylor Swift,91347218
6,Coldplay,88450132
7,Rihanna,84084170
8,Sabrina Carpenter,81276760
9,Justin Bieber,78131338
10,Ariana Grande,77892258
11,Post Malone,77709736
12,Eminem,76634201
13,David Guetta,75309038
14,Drake,75082609
15,Ed Sheeran,72365787
16,Travis Scott,70325249
17,Kanye West,66495004
18,SZA,66073273
19,Kendrick Lamar,65402036
20,Calvin Harris,65209466
21,Bad Bunny,65157608
22,Dua Lipa,64432017
23,Shakira,63458151
24,Maroon 5,62727306
25,Lana Del Rey,61461273
26,Adele,61139255
27,Imagine Dragons,60979864
28,Katy Perry,60308723
29,Karol G,60165167
30,Linkin Park,60040502
31,Marshmello,57947884
32,Future,56662720
33,J Balvin,55832422
34,Sia,55794107
35,Beyoncé,54529796
36,Khalid,53651850
37,Arctic Monkeys,53420913
38,OneRepublic,53236699
39,Playboi Carti,53215775
40,Daddy Yankee,53103649
41,Queen,52420139
42,Metro Boomin,52316641
43,Sam Smith,52149158
44,Hozier,52087639
45,21 Savage,51469291
46,Benson Boone,51198291
47,Doja Cat,50186697
48,Chris Brown,49697082
49,The Chainsmokers,48717253
50,Elton John,48581752
51,Olivia Rodrigo,48405797
52,Peso Pluma,48111500
53,Pitbull,47952397
54,Rauw Alejandro,47408484
55,Harry Styles,46634035
56,Shawn Mendes,46257169
57,The Kid LAROI,46234067
58,Chappell Roan,45698905
59,Michael Jackson,45387188
60,Nicki Minaj,45329466
61,The Neighbourhood,44481800
62,Camila Cabello,43494647
63,Maluma,43368915
64,Feid,43357158
65,Tiësto,42337852
66,Teddy Swims,42305028
67,One Direction,42167454
68,Tate McRae,42135619
69,Black Eyed Peas,41842021
70,Usher,41546206
71,Halsey,41503304
72,Ozuna,41114221
73,Myke Towers,40967166
74,XXXTentacion,40891522
75,Arijit Singh,40845471
76,J. Cole,40710160
77,Bebe Rexha,40252040
78,Cris Mj,40177075
79,Justin Timberlake,39578840
80,Ellie Goulding,39556275
81,Charli XCX,39389641
82,Pritam,39270693
83,Britney Spears,39206734
84,Charlie Puth,39143899
85,Ne-Yo,38853365
86,Swae Lee,38769359
87,Madonna,38312507
88,50 Cent,38115308
89,Morgan Wallen,38005066
90,Shreya Ghoshal,37705773
91,Selena Gomez,37538253
92,Gunna,37465977
93,Tom Odell,37314324
94,A.R. Rahman,37111279
95,Lil Wayne,36906453
96,AC/DC,36713455
97,Red Hot Chili Peppers,36632802
98,The Beatles,36586420
99,Frank Ocean,36583106
100,Jay-Z,36456540
101,P!nk,36380365
102,Don Omar,36146860
103,Green Day,36105498
104,Alicia Keys,35907419
105,Manuel Turizo,35814364
